0,1.0000
1,0.9922
2,0.9807
3,0.9635
4,0.9446
5,0.9241
6,0.8936
7,0.8613
8,0.8252
9,0.7750
10,0.6946
11,0.6422
12,0.5712
13,0.4388
14,0.2421
15,0.1731
16,0.1529
17,0.3968
18,0.4847
19,0.5445
20,0.5755
21,0.6003
22,0.6128
23,0.6156
24,0.6114
25,0.6048
26,0.5886
27,0.5584
28,0.5336
29,0.4868
30,0.4409
31,0.3941
32,0.3216
33,0.2470
34,0.2046
35,0.2129
36,0.2406
37,0.2684
38,0.3046
39,0.3505
40,0.3739
41,0.3903
42,0.4012
43,0.4079
44,0.4091
45,0.4049
46,0.3951
47,0.3756
48,0.3520
49,0.3340
50,0.3105
51,0.2757
52,0.2565
53,0.2087
54,0.1909
55,0.1814
56,0.1147
57,0.0849
58,0.0651
59,0.0552
60,0.0525
61,0.0525
62,0.0614
63,0.0854
64,0.1529
65,0.2045
66,0.2180
67,0.2378
68,0.2640
69,0.2858
70,0.3006
71,0.3112
72,0.3200
73,0.3308
74,0.3353
75,0.3419
76,0.3481
77,0.3487
78,0.3474
79,0.3423
80,0.3393
81,0.3282
82,0.3171
83,0.2984
84,0.2558
85,0.2374
86,0.1255
87,0.1274
88,0.1352
89,0.1392
90,0.1292
91,0.1094
92,0.0935
93,0.0935
94,0.1773
95,0.2016
96,0.2138
97,0.2444
98,0.2589
99,0.2677
100,0.2706
101,0.2675
102,0.2644
103,0.2590
104,0.2580
105,0.2570
106,0.2605
107,0.2660
108,0.2760
109,0.2879
110,0.2981
111,0.3065
112,0.3131
113,0.3180
114,0.3195
115,0.3184
116,0.3183
117,0.3148
118,0.3131
119,0.3088
120,0.3100
121,0.3103
122,0.3117
123,0.3176
124,0.3220
125,0.3298
126,0.3388
127,0.3507
128,0.3655
129,0.3831
130,0.3994
131,0.4129
132,0.4279
133,0.4375
134,0.4457
135,0.4527
136,0.4569
137,0.4599
138,0.4603
139,0.4580
140,0.4544
141,0.4424
142,0.4291
143,0.4103
144,0.3885
145,0.3712
146,0.3579
147,0.3419
148,0.3205
149,0.3202
150,0.3465
151,0.3684
152,0.3878
153,0.4108
154,0.4294
155,0.4500
156,0.4637
157,0.4641
158,0.4611
159,0.4493
160,0.4037
161,0.3678
162,0.2527
163,0.1931
164,0.2215
165,0.3419
166,0.4489
167,0.5531
168,0.6180
169,0.6624
170,0.7269
171,0.7831
172,0.8311
173,0.8673
174,0.8896
175,0.9160
176,0.9387
177,0.9516
178,0.9688
179,0.9803
180,0.9841
181,0.9882
182,0.9886
183,0.9874
184,0.9824
185,0.9739
186,0.9616
187,0.9435
188,0.9256
189,0.9037
190,0.8763
191,0.8508
192,0.8130
193,0.7653
194,0.7194
195,0.6732
196,0.6103
197,0.5490
198,0.4288
199,0.3515
200,0.3069
201,0.2895
202,0.3238
203,0.3670
204,0.4112
205,0.4474
206,0.4686
207,0.4837
208,0.4927
209,0.5028
210,0.5050
211,0.5056
212,0.5037
213,0.5029
214,0.4985
215,0.4969
216,0.4939
217,0.4911
218,0.4872
219,0.4834
220,0.4755
221,0.4692
222,0.4603
223,0.4515
224,0.4401
225,0.4302
226,0.4204
227,0.4079
228,0.3928
229,0.3791
230,0.3584
231,0.3378
232,0.3146
233,0.2684
234,0.2406
235,0.2129
236,0.1891
237,0.1467
238,0.1170
239,0.0972
240,0.0873
241,0.1023
242,0.1219
243,0.1787
244,0.2481
245,0.2810
246,0.3026
247,0.3242
248,0.3478
249,0.3600
250,0.3812
251,0.3911
252,0.3973
253,0.3993
254,0.4014
255,0.3993
256,0.3935
257,0.3815
258,0.3739
259,0.3564
260,0.3432
261,0.3239
262,0.2910
263,0.2624
264,0.2338
265,0.2135
266,0.1514
267,0.1234
268,0.1154
269,0.1014
270,0.0815
271,0.0617
272,0.0617
273,0.0578
274,0.0439
275,0.0419
276,0.0419
277,0.1842
278,0.1906
279,0.1951
280,0.1958
281,0.1926
282,0.1891
283,0.1837
284,0.1620
285,0.1505
286,0.1346
287,0.1144
288,0.0943
289,0.0843
290,0.0742
291,0.0661
292,0.0624
293,0.0543
294,0.0525
295,0.0462
296,0.0462
297,0.2321
298,0.2428
299,0.2501
300,0.2530
301,0.2506
302,0.2466
303,0.2371
304,0.2233
305,0.2068
306,0.1451
307,0.1149
308,0.1090
309,0.0975
310,0.0832
311,0.0690
312,0.0619
313,0.0548
314,0.0478
315,0.0478
316,0.0464
317,0.0464
318,0.0451
319,0.0451
320,0.0550
321,0.2897
322,0.3512
323,0.3917
324,0.4327
325,0.4539
326,0.4709
327,0.4913
328,0.5091
329,0.5217
330,0.5238
331,0.5233
332,0.5132
333,0.4952
334,0.4730
335,0.4296
336,0.3738
337,0.3216
338,0.2721
339,0.2643
340,0.3365
341,0.4376
342,0.5771
343,0.6364
344,0.7035
345,0.7494
346,0.7932
347,0.8367
348,0.8680
349,0.8952
350,0.9227
351,0.9459
352,0.9658
353,0.9775
354,0.9895
355,0.9999
356,1.0084
357,1.0094
358,1.0086
359,1.0041
